course,updated_date,course_long_title,college,actual_enrollment,maximum_enrollment,remaining_seats,waitlist,percent_full
CLAS4220,2025-01-20,Classical Epic Poetry,Franklin College of Arts and Sciences,4,80,76,0,0.05
CMLT2400,2025-01-20,Asian-American Literature,Franklin College of Arts and Sciences,32,60,28,0,0.5333333333333333
COMM1110,2025-01-20,Introduction to Public Speaking,Franklin College of Arts and Sciences,42,162,120,0,0.25925925925925924
COMM1500,2025-01-20,Introduction to Interpersonal Communication,Franklin College of Arts and Sciences,0,60,60,0,0.0
COMM3310,2025-01-20,Case Studies in Public Communication,Franklin College of Arts and Sciences,60,60,0,8,1.0
COMM4910,2025-01-20,Internship in Communication,Franklin College of Arts and Sciences,2,24,22,0,0.08333333333333333
CRSS3910,2025-01-20,Crop Science Internship,College of Agricultural and Environmental Sciences,0,50,50,0,0.0
CRSS3920,2025-01-20,Environmental Soil Science Internship,College of Agricultural and Environmental Sciences,0,40,40,0,0.0
CRSS3930,2025-01-20,Turfgrass Management Internship,College of Agricultural and Environmental Sciences,0,10,10,0,0.0
CSCI1302,2025-01-20,Software Development,Franklin College of Arts and Sciences,58,140,82,0,0.4142857142857143
CSCI2720,2025-01-20,Data Structures,Franklin College of Arts and Sciences,68,96,28,0,0.7083333333333334
CSCI4370,2025-01-20,Database Management,Franklin College of Arts and Sciences,40,40,0,16,1.0
CSCI4470,2025-01-20,Algorithms,Franklin College of Arts and Sciences,60,60,0,8,1.0
CSCI4950,2025-01-20,Directed Study in Computer Science,Franklin College of Arts and Sciences,0,640,640,0,0.0
CSCI4960,2025-01-20,Faculty Mentored Research in Computer Science,Franklin College of Arts and Sciences,0,600,600,0,0.0
CSCI5007,2025-01-20,Internship in Computer Science Business/Industry,Franklin College of Arts and Sciences,22,30,8,0,0.7333333333333333
DANC4000,2025-01-20,Independent Study in Dance,Franklin College of Arts and Sciences,0,40,40,0,0.0
DMAN3100,2025-01-20,Disasters and Society,College of Public Health,4,50,46,0,0.08
ECHD4170,2025-01-20,Introduction to Black Psychology,College of Education,0,10,10,0,0.0
ECHD4660,2025-01-20,U.S. Latino/a Mental Health:  An Introduction,College of Education,2,30,28,0,0.06666666666666667
ECON2105,2025-01-20,Principles of Macroeconomics,Terry College of Business,24,60,36,0,0.4
